# Ref,Val,    Package,  PosX,   PosY, Rot,Side, SUPPLIER, SUPPLIER PART NO.
C22,0.1uf,C_1206,174.117,-49.403,270,F.Cu,Farnell,1759361
C25,0.1uf,C_1206,172.466,-65.659,90,F.Cu,Farnell,1759361
C30,0.1uf,C_1206,181.483,-49.403,270,F.Cu,Farnell,1759361
C31,0.1uf,C_1206,184.277,-48.514,90,F.Cu,Farnell,1759361
R9,100k,R_1206,179.324,-76.454,90,F.Cu,Farnell,2129810
C42,100nf,C_1206,211.328,-93.472,90,F.Cu,Farnell,1759361
R11,10k,R_1206,176,-82.5,90,F.Cu,Farnell,2129728
R12,10k,R_1206,198.746,-87.67,180,F.Cu,Farnell,2129728
R13,10k,R_1206,202.746,-91.67,180,F.Cu,Farnell,2129728
R14,10k,R_1206,198.746,-73.199,180,F.Cu,Farnell,2129728
R15,10k,R_1206,202.746,-77.199,180,F.Cu,Farnell,2129728
R16,10k,R_1206,198.746,-80.199,180,F.Cu,Farnell,2129728
R17,10k,R_1206,202.746,-84.199,180,F.Cu,Farnell,2129728
R8,10k,R_1206,186.182,-60.96,180,F.Cu,Farnell,2129728
C33,10nf,C_1206,183.5,-81,0,F.Cu,Farnell,1759350
C34,1uf,C_1206,179.578,-34.798,270,F.Cu,Farnell,1759454
C36,1uf,C_1206,181.229,-43.688,180,F.Cu,Farnell,1759454
C39,1uf,R_1206,198.628,-102.362,90,F.Cu,Farnell,1759454
C40,1uf,R_1206,202.901,-96.077,180,F.Cu,Farnell,1759454
C20,2.2nf,C_1206,159.766,-68.58,90,F.Cu,Farnell,1759341
C21,2.2nf,C_1206,159.639,-61.722,90,F.Cu,Farnell,1759341
C24,2.2uf,C_1206,166.706,-54.5,180,F.Cu,Farnell,2310423
C26,2.2uf,C_1206,169,-50,90,F.Cu,Farnell,2310423
R6,470R,R_1206,162.687,-57.785,180,F.Cu,Farnell,2129621
R7,470R,R_1206,164.211,-62.357,180,F.Cu,Farnell,2129621
R10,47k,R_1206,179.324,-88.138,90,F.Cu,Farnell,2129783
U3,IL715,SOIC-16_3.9x9.9m,191,-51.5,180,F.Cu,Farnell,9570632
U2,IL717,SOIC-16_3.9x9.9m,191,-70,180,F.Cu,Farnell,9570659
U5,LP5907,SOT-23-5,179.451,-39.878,180,F.Cu,Digikey,296-38557-1-ND
U6,LP5907,SOT-23-5,202.184,-100.584,0,F.Cu,Digikey,296-38557-1-ND
Q3,MMBF170,SOT-23,203.246,-88.17,0,F.Cu,Farnell,9845399
Q4,MMBF170,SOT-23,203.246,-73.699,0,F.Cu,Farnell,9845399
Q5,MMBF170,SOT-23,203.246,-80.699,0,F.Cu,Farnell,9845399
U1,PCM5122,TSSOP-28_4.4x9.7,178.5,-57,0,F.Cu,Farnell,2307931
